"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1968","Возраст на конец срока ровно 70 — 200/201","tests.api","Fri Nov 14 21:35:21 UTC 2025","passed","Fri Nov 14 21:35:23 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","573","Дата выдачи паспорта — не раньше 14 лет и не в будущем","tests.api","Fri Nov 14 21:35:38 UTC 2025","passed","Fri Nov 14 21:35:38 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","208","Адрес регистрации — fullAddress обязателен (''/null → 400)","tests.api","Fri Nov 14 21:35:38 UTC 2025","passed","Fri Nov 14 21:35:39 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","2034","Контракт при 200/201: echo-поля, calculation, policyStartDate = сегодня+1","tests.api","Fri Nov 14 21:35:13 UTC 2025","failed","Fri Nov 14 21:35:15 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","272","Дата рождения старше 65 лет — 400 (случайный 66..100)","tests.api","Fri Nov 14 21:35:20 UTC 2025","passed","Fri Nov 14 21:35:21 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","347","Пол — строчные 'm'/'f' → 400","tests.api","Fri Nov 14 21:35:24 UTC 2025","passed","Fri Nov 14 21:35:24 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","2576","неверный код → 400 и сообщение 'Проверьте введенный код'","tests.api","Fri Nov 14 21:35:50 UTC 2025","passed","Fri Nov 14 21:35:52 UTC 2025","TestSmsAndConfirm","test_sms_confirm","",""
"","323","Возраст на конец срока > 70 — 400 (случай)","tests.api","Fri Nov 14 21:35:23 UTC 2025","skipped","Fri Nov 14 21:35:23 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","643","Старше 65 на 1 день на дату начала полиса — 400 (сейчас бывает 500 → xfail)","tests.api","Fri Nov 14 21:35:19 UTC 2025","skipped","Fri Nov 14 21:35:20 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","207","ФИО — невалидные значения по аналитике → 400","tests.api","Fri Nov 14 21:35:30 UTC 2025","passed","Fri Nov 14 21:35:30 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
